序号,Title,Year,Overview,Hardware Devices,Sensing Technology,Recognition & Classification,Interaction Modalities,Gesture Types,Application Scenarios,Feedback & Output,User Experience & Design Factors
1,Towards keyboard independent touch typing in VR,2005,Hardware,"#DataGloves, #Keyboard, #VRHeadset, #WearableSensor, #Wearables","#CapacitiveSensor, #PressureSensor","#GestureRecognition, #StaticGestureRecognition","#InAirGesture, #TangibleInteraction","#Pinch, #SingleHand, #Tap, #ThumbIndex","#AR, #DigitalArt, #TextInput, #VR",#RealTimeFeedback,"#HandsFree, #OneHandUse, #TouchOptimized"
2,Demonstrating the feasibility of using forearm electromyography for muscle-computer interfaces,2008,Hardware,#WearableSensor,"#BioSensor, #EMG","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #NonContactBased","#Hold, #Pinch, #SingleHand, #Tap","#AccessibilitySupport, #InVehicleInteraction, #TextInput","#RealTimeFeedback, #VisualFeedback","#DiscreetInput, #HandsFree, #HighAccuracy, #SocialAcceptability"
3,Hand gesture recognition and virtual game control based on 3D accelerometer and EMG sensors,2009,Hardware,#WearableSensor,"#Accelerometer, #BioSensor, #EMG, #MotionSensor","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking","#MultiModalInteraction, #NonContactBased","#DirectionalGesture, #SingleHand","#Gaming, #ObjectManipulation","#RealTimeFeedback, #VisualFeedback","#HighAccuracy, #LowLatency, #PortableDesign"
4,A prototype of gesture-based interface,2011,Hardware,"#Smartphone, #WearableSensor, #Wearables","#Accelerometer, #BioSensor, #EMG","#DynamicGestureRecognition, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#MultiModalInteraction, #NonContactBased","#DirectionalGesture, #Flex, #SingleHand","#InVehicleInteraction, #MediaControl","#RealTimeFeedback, #VisualFeedback","#DiscreetInput, #HighAccuracy, #PortableDesign, #SocialAcceptability"
5,Design space for finger gestures with hand-held tablets,2012,Gesture Design,"#Tablet, #TouchScreen, #WearableSensor","#Accelerometer, #CapacitiveSensor, #Gyroscope, #MotionSensor","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#ContactBased, #DirectTouch","#DualHand, #Grasp/GripBased, #MultiTouch, #SingleHand, #Swipe, #Tap","#MediaControl, #Navigation, #ObjectManipulation","#HapticFeedback, #MultimodalFeedback, #ProprioceptiveFeedback","#FatFingerProblem, #OcclusionAvoidance, #SocialAcceptability, #TouchOptimized, #UserAdaptation"
6,Augmenting the input space of portable displays using add-on hall-sensor grid,2013,Hardware,"#Smartphone, #Tablet, #WearableSensor, #Wearables","#Accelerometer, #Magnetometer, #OtherTechnology","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BackOfDeviceInteraction, #DirectTouch, #NonContactBased, #TangibleInteraction","#Pinch, #Swipe, #Tap, #ThumbIndex","#Gaming, #MediaControl, #Navigation, #TextInput","#HapticFeedback, #VisualFeedback","#DiscreetInput, #OcclusionAvoidance, #PortableDesign, #SocialAcceptability"
7,EarPut augmenting ear-worn devices for ear-based interaction,2014,Hardware,"#OtherDevices, #Smartphone, #WearableSensor, #Wearables",#CapacitiveSensor,"#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #DirectTouch, #EarBasedInteraction, #InAirGesture","#MultiTouch, #SingleHand, #Swipe, #Tap","#Gaming, #MediaControl, #SmartHome","#AudioFeedback, #HapticFeedback, #ProprioceptiveFeedback","#DiscreetInput, #EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability"
8,Advancing muscle-computer interfaces with high-density electromyography,2015,Hardware,#WearableSensor,"#BioSensor, #EMG","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition",#NonContactBased,"#Flex, #Pinch, #SingleHand, #Tap","#IoTControl, #MediaControl, #SmartHome","#RealTimeFeedback, #VisualFeedback","#DiscreetInput, #HandsFree, #HighAccuracy, #UserAdaptation"
9,eRing multiple finger gesture recognition with one ring using an electric field,2015,Hardware,"#SmartRing, #WearableSensor, #Wearables","#CapacitiveSensor, #OtherTechnology","#ContinuousRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#ContactBased, #MultiModalInteraction, #NonContactBased","#Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#IoTControl, #OtherScenarios, #SmartHome","#RealTimeFeedback, #VisualFeedback","#HandsFree, #OcclusionAvoidance, #OneHandUse, #PortableDesign, #SocialAcceptability"
10,Finger-writing with smartwatch a case for finger and hand gesture recognition using smartwatch,2015,InteractionSoftware,"#SmartWatch, #Wearables","#Accelerometer, #Gyroscope, #IMU, #MotionSensor","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #MotionAnalysis, #StaticGestureRecognition, #TrajectoryAnalysis","#ContactBased, #InAirGesture, #NonContactBased","#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#IoTControl, #MediaControl, #SmartHome, #TextInput","#RealTimeFeedback, #VisualFeedback","#DiscreetInput, #HandsFree, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability"
