序号,Title,Year,Overview,Hardware Devices,Sensing Technology,Recognition & Classification,Interaction Modalities,Gesture Types,Application Scenarios,Feedback & Output,User Experience & Design Factors
57,Exploring mixed-scale gesture interaction,2017,Gesture Design,"#ARGlasses, #WearableSensor","#ComputerVision, #OpticalTracking, #RadarSensing","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#InAirGesture, #MultiModalInteraction, #NonContactBased","#DirectionalGesture, #DualHand, #Grasp/GripBased, #SingleHand","#AR, #MediaControl, #ObjectManipulation","#RealTimeFeedback, #VisualFeedback","#HighAccuracy, #SocialAcceptability"
58,Depth aware finger tapping on virtual displays,2018,InteractionSoftware,"#ARGlasses, #Smartphone, #VRHeadset","#ComputerVision, #DepthSensing, #UltrasonicSensor","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #MotionAnalysis","#InAirGesture, #MultiModalInteraction, #NonContactBased","#DirectionalGesture, #SingleHand, #Tap","#AR, #MediaControl, #TextInput, #VR","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback, #VisualFeedback","#HandsFree, #HighAccuracy, #LowLatency"
59,Experimental analysis of barehand mid-air mode-switching techniques in virtual reality,2019,Gesture Design,"#VRHeadset, #WearableSensor","#OpticalTracking, #PressureSensor","#GestureRecognition, #HandTracking, #StaticGestureRecognition","#BodyContactGesture, #InAirGesture, #NonContactBased","#DirectionalGesture, #DualHand, #Grasp/GripBased, #Pinch, #SingleHand","#ObjectManipulation, #VR","#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#HandsFree, #HighAccuracy, #LowLatency, #UserAdaptation"
60,Characterizing in-air eyes-free typing movements in VR,2020,Gesture Design,"#OtherDevices, #VRHeadset","#MotionSensor, #OpticalTracking","#3DPoseEstimation, #ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #MotionAnalysis, #TrajectoryAnalysis","#InAirGesture, #NonContactBased","#DualHand, #Flex, #Tap","#TextInput, #VR","#AudioFeedback, #VisualFeedback","#EyesFree, #HandsFree, #HighAccuracy, #QWERTYLayout"
61,User gesture elicitation of common smartphone tasks for hand proximate user interfaces,2020,Gesture Design,"#ARGlasses, #SmartGlasses, #Smartphone",#ComputerVision,"#DynamicGestureRecognition, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#BodyContactGesture, #DirectTouch, #InAirGesture","#Flex, #Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #MR, #MediaControl, #Navigation",#VisualFeedback,"#OneHandUse, #SocialAcceptability, #UserAdaptation"
62,AtaTouch robust finger pinch detection for a VR controller using RF return loss,2021,Hardware,"#VRHeadset, #WearableSensor, #Wearables","#CapacitiveSensor, #RFSensing","#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#ContactBased, #DeviceContactGesture","#Grasp/GripBased, #Pinch, #SingleHand, #ThumbIndex","#Gaming, #ObjectManipulation, #VR","#RealTimeFeedback, #VisualFeedback","#HighAccuracy, #LowLatency, #OcclusionAvoidance, #OneHandUse"
63,Press-n-Paste: Copy-and-Paste Operations with Pressure-sensitive Caret Navigation for MiniaturizedSurface in Mobile Augmented Reality,2021,InteractionSoftware,"#ARGlasses, #SmartGlasses, #Smartphone, #TouchScreen, #Wearables","#ComputerVision, #PressureSensor",#GestureRecognition,"#ContactBased, #MultiModalInteraction","#Hold, #SingleHand, #Swipe, #Tap","#TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#FatFingerProblem, #OneHandUse, #PortableDesign, #SmallScreen, #TouchOptimized"
65,GraV grasp volume data for the design of one-handed XR interfaces,2024,InteractionSoftware,"#ARGlasses, #VRHeadset",#ComputerVision,"#3DPoseEstimation, #FingerTracking, #GestureRecognition, #HandTracking","#ContactBased, #DirectTouch, #TangibleInteraction","#Grasp/GripBased, #SingleHand, #ThumbIndex","#AR, #ObjectManipulation, #VR","#HapticFeedback, #VisualFeedback","#HandsFree, #OneHandUse, #UserAdaptation"
66,HapticPilot authoring in-situ hand posture-adaptive vibrotactile feedback for virtual reality,2024,InteractionSoftware,"#DataGloves, #HapticDevice, #VRHeadset","#MotionSensor, #OpticalTracking","#HandTracking, #StaticGestureRecognition","#InAirGesture, #MultiModalInteraction","#DirectionalGesture, #SingleHand","#DigitalArt, #Gaming, #VR","#HapticFeedback, #RealTimeFeedback","#HandsFree, #LowLatency, #UserAdaptation"
67,TriPad touch input in AR on ordinary surfaces with hand tracking only,2024,InteractionSoftware,"#ARGlasses, #VRHeadset","#ComputerVision, #DepthSensing, #OpticalTracking","#DynamicGestureRecognition, #FingerTracking, #HandTracking, #StaticGestureRecognition","#ContactBased, #DirectTouch, #InAirGesture, #MultiModalInteraction","#DirectionalGesture, #MultiTouch, #SingleHand, #Tap","#AR, #Navigation, #ObjectManipulation","#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#EyesFree, #HandsFree, #LowLatency, #SocialAcceptability, #TouchOptimized"
68,GraspUI Seamlessly Integrating Object-Centric Gestures within the Seven Phases of Grasping,2024,InteractionSoftware,"#ARGlasses, #SmartGlasses, #Wearables","#ComputerVision, #MotionSensor, #OpticalTracking","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#ContactBased, #InAirGesture, #MultiModalInteraction, #TangibleInteraction","#Grasp/GripBased, #Hold, #SingleHand, #Swipe, #Tap","#AR, #MediaControl, #ObjectManipulation, #SmartHome","#RealTimeFeedback, #VisualFeedback","#HandsFree, #SocialAcceptability, #UserAdaptation"
69,Stick-To-XR Understanding Stick-Based User Interface Design for Extended Reality,2024,Hardware,"#HapticDevice, #OtherDevices, #VRHeadset","#MotionSensor, #OpticalTracking, #PressureSensor","#GestureRecognition, #HandTracking, #StaticGestureRecognition","#ContactBased, #MultiModalInteraction, #TangibleInteraction","#DualHand, #Grasp/GripBased, #Hold, #SingleHand","#AR, #Education, #Gaming, #VR","#HapticFeedback, #MultimodalFeedback, #VisualFeedback","#OneHandUse, #PortableDesign, #UserAdaptation"
70,STMG A Machine Learning Microgesture Recognition System for Supporting Thumb-Based VR AR Input,2024,InteractionSoftware,"#ARGlasses, #VRHeadset","#ComputerVision, #MotionSensor, #OpticalTracking","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking","#BodyContactGesture, #ContactBased, #MultiModalInteraction","#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #MediaControl, #Navigation, #ObjectManipulation, #VR","#RealTimeFeedback, #VisualFeedback","#EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #OneHandUse, #UserAdaptation"
71,Understanding Gesture and Microgesture Inputs for Augmented Reality Maps,2024,Gesture Design,"#ARGlasses, #SmartGlasses, #WearableSensor, #Wearables","#Accelerometer, #CapacitiveSensor, #ComputerVision, #IMU, #OpticalTracking","#FingerTracking, #GestureRecognition, #HandTracking","#BodyContactGesture, #ContactBased, #MultiModalInteraction","#DirectionalGesture, #SingleHand, #Swipe, #Tap","#AR, #Navigation","#HapticFeedback, #ProprioceptiveFeedback","#DiscreetInput, #EyesFree, #OneHandUse, #SocialAcceptability"
72,T2IRay Design of Thumb-to-Index based Indirect Pointing for Continuous and Robust AR VR Input,2025,Gesture Design,"#ARGlasses, #VRHeadset","#ComputerVision, #OpticalTracking","#ContinuousRecognition, #FingerTracking, #GestureRecognition, #HandTracking","#BodyContactGesture, #ContactBased, #MultiModalInteraction","#DirectionalGesture, #SingleHand, #Tap, #ThumbIndex","#AR, #ObjectManipulation, #VR","#ProprioceptiveFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #SocialAcceptability"
74,Key-press gestures recognition and interaction based on SEMG signals,2010,Gesture Design,"#Smartphone, #WearableSensor, #Wearables","#BioSensor, #EMG","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #MultiModalInteraction","#Flex, #Hold, #SingleHand","#MediaControl, #TextInput","#RealTimeFeedback, #VisualFeedback","#DiscreetInput, #EncumberedInteraction, #EyesFree, #HandsFree, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability"
