Title,Application Scenarios,Feedback & Output,Gesture Types,Hardware Devices,Interaction Modalities,Overview,Recognition & Classification,Sensing Technology,User Experience & Design Factors,Year,序号
Understanding Gesture and Microgesture Inputs for Augmented Reality Maps,"#AR, #Navigation","#HapticFeedback, #ProprioceptiveFeedback","#DirectionalGesture, #SingleHand, #Swipe, #Tap","#ARGlasses, #SmartGlasses, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #MultiModalInteraction",Gesture Design,"#FingerTracking, #GestureRecognition, #HandTracking","#Accelerometer, #CapacitiveSensor, #ComputerVision, #IMU, #OpticalTracking","#DiscreetInput, #EyesFree, #OneHandUse, #SocialAcceptability",2024,71
HapticPilot authoring in-situ hand posture-adaptive vibrotactile feedback for virtual reality,"#DigitalArt, #Gaming, #VR","#HapticFeedback, #RealTimeFeedback","#DirectionalGesture, #SingleHand","#DataGloves, #HapticDevice, #VRHeadset","#InAirGesture, #MultiModalInteraction",InteractionSoftware,"#HandTracking, #StaticGestureRecognition","#MotionSensor, #OpticalTracking","#HandsFree, #LowLatency, #UserAdaptation",2024,66
Experimental analysis of barehand mid-air mode-switching techniques in virtual reality,"#ObjectManipulation, #VR","#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #DualHand, #Grasp/GripBased, #Pinch, #SingleHand","#VRHeadset, #WearableSensor","#BodyContactGesture, #InAirGesture, #NonContactBased",Gesture Design,"#GestureRecognition, #HandTracking, #StaticGestureRecognition","#OpticalTracking, #PressureSensor","#HandsFree, #HighAccuracy, #LowLatency, #UserAdaptation",2019,59
T2IRay Design of Thumb-to-Index based Indirect Pointing for Continuous and Robust AR VR Input,"#AR, #ObjectManipulation, #VR","#ProprioceptiveFeedback, #VisualFeedback","#DirectionalGesture, #SingleHand, #Tap, #ThumbIndex","#ARGlasses, #VRHeadset","#BodyContactGesture, #ContactBased, #MultiModalInteraction",Gesture Design,"#ContinuousRecognition, #FingerTracking, #GestureRecognition, #HandTracking","#ComputerVision, #OpticalTracking","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #SocialAcceptability",2025,72
Characterizing in-air eyes-free typing movements in VR,"#TextInput, #VR","#AudioFeedback, #VisualFeedback","#DualHand, #Flex, #Tap","#OtherDevices, #VRHeadset","#InAirGesture, #NonContactBased",Gesture Design,"#3DPoseEstimation, #ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #MotionAnalysis, #TrajectoryAnalysis","#MotionSensor, #OpticalTracking","#EyesFree, #HandsFree, #HighAccuracy, #QWERTYLayout",2020,60
AtaTouch robust finger pinch detection for a VR controller using RF return loss,"#Gaming, #ObjectManipulation, #VR","#RealTimeFeedback, #VisualFeedback","#Grasp/GripBased, #Pinch, #SingleHand, #ThumbIndex","#VRHeadset, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture",Hardware,"#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #RFSensing","#HighAccuracy, #LowLatency, #OcclusionAvoidance, #OneHandUse",2021,62
Stick-To-XR Understanding Stick-Based User Interface Design for Extended Reality,"#AR, #Education, #Gaming, #VR","#HapticFeedback, #MultimodalFeedback, #VisualFeedback","#DualHand, #Grasp/GripBased, #Hold, #SingleHand","#HapticDevice, #OtherDevices, #VRHeadset","#ContactBased, #MultiModalInteraction, #TangibleInteraction",Hardware,"#GestureRecognition, #HandTracking, #StaticGestureRecognition","#MotionSensor, #OpticalTracking, #PressureSensor","#OneHandUse, #PortableDesign, #UserAdaptation",2024,69
GraV grasp volume data for the design of one-handed XR interfaces,"#AR, #ObjectManipulation, #VR","#HapticFeedback, #VisualFeedback","#Grasp/GripBased, #SingleHand, #ThumbIndex","#ARGlasses, #VRHeadset","#ContactBased, #DirectTouch, #TangibleInteraction",InteractionSoftware,"#3DPoseEstimation, #FingerTracking, #GestureRecognition, #HandTracking",#ComputerVision,"#HandsFree, #OneHandUse, #UserAdaptation",2024,65
User gesture elicitation of common smartphone tasks for hand proximate user interfaces,"#AR, #MR, #MediaControl, #Navigation",#VisualFeedback,"#Flex, #Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#ARGlasses, #SmartGlasses, #Smartphone","#BodyContactGesture, #DirectTouch, #InAirGesture",Gesture Design,"#DynamicGestureRecognition, #GestureRecognition, #HandTracking, #StaticGestureRecognition",#ComputerVision,"#OneHandUse, #SocialAcceptability, #UserAdaptation",2020,61
TriPad touch input in AR on ordinary surfaces with hand tracking only,"#AR, #Navigation, #ObjectManipulation","#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #MultiTouch, #SingleHand, #Tap","#ARGlasses, #VRHeadset","#ContactBased, #DirectTouch, #InAirGesture, #MultiModalInteraction",InteractionSoftware,"#DynamicGestureRecognition, #FingerTracking, #HandTracking, #StaticGestureRecognition","#ComputerVision, #DepthSensing, #OpticalTracking","#EyesFree, #HandsFree, #LowLatency, #SocialAcceptability, #TouchOptimized",2024,67
