序号,Title,Year,Overview,Hardware Devices,Sensing Technology,Recognition & Classification,Interaction Modalities,Gesture Types,Application Scenarios,Feedback & Output,User Experience & Design Factors
128,Towards the establishment of a framework for intuitive multi-touch interaction design,2012,Gesture Design,"#Smartphone, #Tablet, #TouchScreen",#CapacitiveSensor,"#GestureRecognition, #HandTracking, #MotionAnalysis","#ContactBased, #DirectTouch, #MultiModalInteraction","#DirectionalGesture, #DualHand, #MultiTouch, #Pinch, #SingleHand, #Swipe, #Tap","#Navigation, #ObjectManipulation, #OtherScenarios","#AudioFeedback, #HapticFeedback, #MultimodalFeedback, #VisualFeedback","#FatFingerProblem, #HighAccuracy, #OcclusionAvoidance, #TouchOptimized, #UserAdaptation"
130,Grasping microgestures eliciting single-hand microgestures for handheld objects,2019,Gesture Design,"#OtherDevices, #Smartphone","#ComputerVision, #Magnetometer, #OtherTechnology","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #DeviceContactGesture, #DirectTouch","#DirectionalGesture, #Grasp/GripBased, #Pinch, #SingleHand, #Swipe, #Tap","#IoTControl, #ObjectManipulation, #OtherScenarios, #SmartHome",#RealTimeFeedback,"#DiscreetInput, #ElicitationStudy, #EncumberedInteraction, #OneHandUse"
131,Rhythmic micro-gestures discreet interaction on-the-go,2017,Gesture Design,#OtherDevices,"#MotionSensor, #OpticalTracking","#DynamicGestureRecognition, #GestureRecognition, #HandTracking","#InAirGesture, #MultiModalInteraction, #NonContactBased","#DirectionalGesture, #Flex, #SingleHand, #Tap","#MediaControl, #Navigation, #OtherScenarios","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #MidasTouchProblem, #OneHandUse, #PortableDesign, #SocialAcceptability"
132,Studying the visual representation of microgestures,2023,Gesture Design,"#ARGlasses, #OtherDevices","#Magnetometer, #OtherTechnology",Others,"#BodyContactGesture, #ContactBased","#Flex, #Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #Education",#VisualFeedback,"#DiscreetInput, #ElicitationStudy, #OneHandUse"
133,µGlyph a microgesture notation,2023,Gesture Design,#OtherDevices,#OtherTechnology,Others,"#BodyContactGesture, #ContactBased, #NonContactBased","#Flex, #Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex",#Education,#VisualFeedback,"#DiscreetInput, #OneHandUse"
134,User elicitation on single-hand microgestures,2016,Gesture Design,"#OtherDevices, #Wearables",#ComputerVision,"#FingerTracking, #GestureRecognition, #HandTracking","#BodyContactGesture, #ContactBased","#Pinch, #SingleHand, #Swipe, #Tap","#MediaControl, #ObjectManipulation, #TextInput",#VisualFeedback,"#ElicitationStudy, #EyesFree, #OneHandUse, #SocialAcceptability"
135,Would you do that understanding social acceptance of gestural interfaces,2010,Gesture Design,"#OtherDevices, #Smartphone","#Accelerometer, #IMU, #MotionSensor","#GestureRecognition, #MotionAnalysis","#ContactBased, #DeviceContactGesture, #InAirGesture, #NonContactBased","#DirectionalGesture, #SingleHand, #Tap","#MediaControl, #OtherScenarios, #SmartHome","#AudioFeedback, #VisualFeedback","#DiscreetInput, #SocialAcceptability, #UserAdaptation"
137,Hands as a controller user preferences for hand specific on-skin gestures,2017,Gesture Design,#OtherDevices,"#CapacitiveSensor, #ComputerVision, #IMU, #RadarSensing, #UltrasonicSensor","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#BodyContactGesture, #ContactBased","#DualHand, #Pinch, #Swipe, #Tap","#InVehicleInteraction, #IoTControl, #MediaControl, #SmartHome",#VisualFeedback,"#ElicitationStudy, #SocialAcceptability"
138,Designing More Private and Socially Acceptable Hand-to-Face Gestures for Heads-Up Computing,2024,Gesture Design,"#ARGlasses, #SmartGlasses, #WearableSensor","#IMU, #MotionSensor","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased","#SingleHand, #Swipe, #Tap","#OtherScenarios, #VR","#HapticFeedback, #ProprioceptiveFeedback","#DiscreetInput, #SocialAcceptability"
139,Blind people and mobile touch-based text-entry acknowledging the need for different flavors,2011,InteractionSoftware,"#Smartphone, #TouchScreen",#PressureSensor,#GestureRecognition,"#ContactBased, #DirectTouch, #MultiModalInteraction","#DirectionalGesture, #MultiTouch, #Swipe, #Tap","#AccessibilitySupport, #TextInput","#AudioFeedback, #MultimodalFeedback","#FatFingerProblem, #QWERTYLayout, #TouchOptimized, #UserAdaptation"
140,Interaction gestures for a wearable device defined by visually impaired children,2016,Gesture Design,"#WearableSensor, #Wearables","#CapacitiveSensor, #IMU, #MotionSensor","#GestureRecognition, #MotionAnalysis","#ContactBased, #DeviceContactGesture, #MultiModalInteraction","#Hold, #Swipe, #Tap","#AccessibilitySupport, #Healthcare, #Training","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback","#ElicitationStudy, #EyesFree, #OneHandUse, #PortableDesign, #UserAdaptation"
141,Investigating microinteractions for people with visual impairments and the potential role of on-body interaction,2017,Gesture Design,"#SmartWatch, #Smartphone, #WearableSensor, #Wearables","#ComputerVision, #IMU, #MotionSensor, #OtherTechnology","#GestureRecognition, #MotionAnalysis","#BodyContactGesture, #ContactBased, #MultiModalInteraction","#SingleHand, #Swipe, #Tap","#AccessibilitySupport, #MediaControl, #Navigation, #OtherScenarios","#AudioFeedback, #RealTimeFeedback","#EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability, #UserAdaptation"
143,Static fingerspelling recognition based on boundary tracing algorithm and chain code,2018,InteractionSoftware,#OtherDevices,#ComputerVision,"#FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition",#NonContactBased,"#SignLanguageRelated, #SingleHand",#AccessibilitySupport,#VisualFeedback,"#HighAccuracy, #UserAdaptation"
144,Keep the phone in your pocket enabling smartphone operation with an IMU ring for visually impaired people,2020,Hardware,"#SmartRing, #Smartphone, #WearableSensor","#Accelerometer, #Gyroscope, #IMU","#FingerTracking, #GestureRecognition, #MotionAnalysis","#ContactBased, #TangibleInteraction","#SingleHand, #Swipe, #Tap",#AccessibilitySupport,#AudioFeedback,"#DiscreetInput, #HighAccuracy, #PortableDesign, #SocialAcceptability"
145,Performance evaluation of pattern recognition networks using electromyography signal and time-domain features for the classification of hand gestures,2020,InteractionSoftware,#WearableSensor,"#BioSensor, #EMG","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition",#ContactBased,"#Flex, #Grasp/GripBased, #SingleHand, #ThumbIndex","#AccessibilitySupport, #Healthcare",#RealTimeFeedback,"#CommunicationAid, #HighAccuracy"
146,Keep in touch combining touch interaction with thumb-to-finger µGestures for people with visual impairment,2022,InteractionSoftware,"#Tablet, #TouchScreen, #WearableSensor, #Wearables","#CapacitiveSensor, #OtherTechnology","#GestureRecognition, #StaticGestureRecognition","#ContactBased, #DirectTouch, #MultiModalInteraction","#SingleHand, #Swipe, #Tap, #ThumbIndex","#AccessibilitySupport, #Education, #Navigation","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback","#CommunicationAid, #DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #TouchOptimized"
147,µGeT multimodal eyes-free text selection technique combining touch interaction and microgestures,2023,InteractionSoftware,"#Tablet, #TouchScreen, #Wearables","#CapacitiveSensor, #ComputerVision","#GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #DirectTouch, #MultiModalInteraction","#Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AccessibilitySupport, #TextInput","#AudioFeedback, #RealTimeFeedback","#DiscreetInput, #EyesFree, #OneHandUse, #TouchOptimized"
148,Designing upper-body gesture interaction with and for people with spinal muscular atrophy in VR,2024,Gesture Design,"#VRHeadset, #Wearables","#CapacitiveSensor, #ComputerVision","#GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #GazeBased, #InAirGesture, #MultiModalInteraction","#DirectionalGesture, #Pinch, #SingleHand, #ThumbIndex","#AccessibilitySupport, #VR","#AudioFeedback, #RealTimeFeedback","#EyesFree, #HandsFree, #OneHandUse, #UserAdaptation"
150,Finger gesture tracking for interactive applications a pilot study with sign languages,2020,Gesture Design,"#SmartRing, #SmartWatch, #WearableSensor","#IMU, #MotionSensor","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking","#InAirGesture, #NonContactBased","#DirectionalGesture, #DualHand, #SignLanguageRelated, #SingleHand","#AccessibilitySupport, #Education","#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#HighAccuracy, #LowLatency, #PortableDesign, #SocialAcceptability, #UserAdaptation"
151,A non-linear model of shape  and motion for tracking finger spelt American sign language,2002,Gesture Design,#OtherDevices,"#ComputerVision, #OpticalTracking","#GestureRecognition, #HandTracking, #MotionAnalysis, #StaticGestureRecognition","#InAirGesture, #NonContactBased","#SignLanguageRelated, #SingleHand","#AccessibilitySupport, #Education",#VisualFeedback,"#HandsFree, #HighAccuracy, #SocialAcceptability"
152,FingerPad- private and subtle interaction using fingertips,2013,Hardware,"#SmartGlasses, #WearableSensor, #Wearables","#Accelerometer, #Magnetometer","#ContinuousRecognition, #FingerTracking, #GestureRecognition","#ContactBased, #DeviceContactGesture","#Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #MediaControl, #SmartHome, #TextInput","#HapticFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #SocialAcceptability"
