Title,Application Scenarios,Feedback & Output,Gesture Types,Hardware Devices,Interaction Modalities,Overview,Recognition & Classification,Sensing Technology,User Experience & Design Factors,Year,序号
LightRing-Always-Available 2D Input on Any Surface,"#Navigation, #TextInput",#VisualFeedback,"#Flex, #SingleHand","#SmartRing, #WearableSensor, #Wearables","#ContactBased, #DirectTouch",Hardware,"#ContinuousRecognition, #FingerTracking, #GestureRecognition","#Gyroscope, #MotionSensor, #OpticalTracking","#HandsFree, #HighAccuracy, #PortableDesign, #SocialAcceptability",2014,154
DigiTap-an eyes-free VR/AR symbolic input device,"#AR, #MediaControl, #TextInput, #VR","#HapticFeedback, #VisualFeedback","#SingleHand, #Tap, #ThumbIndex","#ARGlasses, #VRHeadset, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased",Hardware,"#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#Accelerometer, #ComputerVision, #OpticalTracking","#DiscreetInput, #EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability",2014,153
FingerPad- private and subtle interaction using fingertips,"#AR, #MediaControl, #SmartHome, #TextInput","#HapticFeedback, #VisualFeedback","#Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#SmartGlasses, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture",Hardware,"#ContinuousRecognition, #FingerTracking, #GestureRecognition","#Accelerometer, #Magnetometer","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #SocialAcceptability",2013,152
Keep the phone in your pocket enabling smartphone operation with an IMU ring for visually impaired people,#AccessibilitySupport,#AudioFeedback,"#SingleHand, #Swipe, #Tap","#SmartRing, #Smartphone, #WearableSensor","#ContactBased, #TangibleInteraction",Hardware,"#FingerTracking, #GestureRecognition, #MotionAnalysis","#Accelerometer, #Gyroscope, #IMU","#DiscreetInput, #HighAccuracy, #PortableDesign, #SocialAcceptability",2020,144
WristFlex- low-power gesture input with wrist-worn pressure sensors,"#AthleticActivity, #IoTControl, #SmartHome","#RealTimeFeedback, #VisualFeedback","#Pinch, #SingleHand, #ThumbIndex","#SmartWatch, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased",Hardware,"#GestureRecognition, #StaticGestureRecognition","#Accelerometer, #PressureSensor","#DiscreetInput, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability",2014,156
User elicitation on single-hand microgestures,"#MediaControl, #ObjectManipulation, #TextInput",#VisualFeedback,"#Pinch, #SingleHand, #Swipe, #Tap","#OtherDevices, #Wearables","#BodyContactGesture, #ContactBased",Gesture Design,"#FingerTracking, #GestureRecognition, #HandTracking",#ComputerVision,"#ElicitationStudy, #EyesFree, #OneHandUse, #SocialAcceptability",2016,134
Blind people and mobile touch-based text-entry acknowledging the need for different flavors,"#AccessibilitySupport, #TextInput","#AudioFeedback, #MultimodalFeedback","#DirectionalGesture, #MultiTouch, #Swipe, #Tap","#Smartphone, #TouchScreen","#ContactBased, #DirectTouch, #MultiModalInteraction",InteractionSoftware,#GestureRecognition,#PressureSensor,"#FatFingerProblem, #QWERTYLayout, #TouchOptimized, #UserAdaptation",2011,139
Designing upper-body gesture interaction with and for people with spinal muscular atrophy in VR,"#AccessibilitySupport, #VR","#AudioFeedback, #RealTimeFeedback","#DirectionalGesture, #Pinch, #SingleHand, #ThumbIndex","#VRHeadset, #Wearables","#BodyContactGesture, #GazeBased, #InAirGesture, #MultiModalInteraction",Gesture Design,"#GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #ComputerVision","#EyesFree, #HandsFree, #OneHandUse, #UserAdaptation",2024,148
Would you do that understanding social acceptance of gestural interfaces,"#MediaControl, #OtherScenarios, #SmartHome","#AudioFeedback, #VisualFeedback","#DirectionalGesture, #SingleHand, #Tap","#OtherDevices, #Smartphone","#ContactBased, #DeviceContactGesture, #InAirGesture, #NonContactBased",Gesture Design,"#GestureRecognition, #MotionAnalysis","#Accelerometer, #IMU, #MotionSensor","#DiscreetInput, #SocialAcceptability, #UserAdaptation",2010,135
Performance evaluation of pattern recognition networks using electromyography signal and time-domain features for the classification of hand gestures,"#AccessibilitySupport, #Healthcare",#RealTimeFeedback,"#Flex, #Grasp/GripBased, #SingleHand, #ThumbIndex",#WearableSensor,#ContactBased,InteractionSoftware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BioSensor, #EMG","#CommunicationAid, #HighAccuracy",2020,145
Designing More Private and Socially Acceptable Hand-to-Face Gestures for Heads-Up Computing,"#OtherScenarios, #VR","#HapticFeedback, #ProprioceptiveFeedback","#SingleHand, #Swipe, #Tap","#ARGlasses, #SmartGlasses, #WearableSensor","#BodyContactGesture, #ContactBased",Gesture Design,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#IMU, #MotionSensor","#DiscreetInput, #SocialAcceptability",2024,138
Interaction gestures for a wearable device defined by visually impaired children,"#AccessibilitySupport, #Healthcare, #Training","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback","#Hold, #Swipe, #Tap","#WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture, #MultiModalInteraction",Gesture Design,"#GestureRecognition, #MotionAnalysis","#CapacitiveSensor, #IMU, #MotionSensor","#ElicitationStudy, #EyesFree, #OneHandUse, #PortableDesign, #UserAdaptation",2016,140
Towards the establishment of a framework for intuitive multi-touch interaction design,"#Navigation, #ObjectManipulation, #OtherScenarios","#AudioFeedback, #HapticFeedback, #MultimodalFeedback, #VisualFeedback","#DirectionalGesture, #DualHand, #MultiTouch, #Pinch, #SingleHand, #Swipe, #Tap","#Smartphone, #Tablet, #TouchScreen","#ContactBased, #DirectTouch, #MultiModalInteraction",Gesture Design,"#GestureRecognition, #HandTracking, #MotionAnalysis",#CapacitiveSensor,"#FatFingerProblem, #HighAccuracy, #OcclusionAvoidance, #TouchOptimized, #UserAdaptation",2012,128
µGeT multimodal eyes-free text selection technique combining touch interaction and microgestures,"#AccessibilitySupport, #TextInput","#AudioFeedback, #RealTimeFeedback","#Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex","#Tablet, #TouchScreen, #Wearables","#BodyContactGesture, #ContactBased, #DirectTouch, #MultiModalInteraction",InteractionSoftware,"#GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #ComputerVision","#DiscreetInput, #EyesFree, #OneHandUse, #TouchOptimized",2023,147
Keep in touch combining touch interaction with thumb-to-finger µGestures for people with visual impairment,"#AccessibilitySupport, #Education, #Navigation","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback","#SingleHand, #Swipe, #Tap, #ThumbIndex","#Tablet, #TouchScreen, #WearableSensor, #Wearables","#ContactBased, #DirectTouch, #MultiModalInteraction",InteractionSoftware,"#GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #OtherTechnology","#CommunicationAid, #DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #TouchOptimized",2022,146
Static fingerspelling recognition based on boundary tracing algorithm and chain code,#AccessibilitySupport,#VisualFeedback,"#SignLanguageRelated, #SingleHand",#OtherDevices,#NonContactBased,InteractionSoftware,"#FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition",#ComputerVision,"#HighAccuracy, #UserAdaptation",2018,143
A non-linear model of shape  and motion for tracking finger spelt American sign language,"#AccessibilitySupport, #Education",#VisualFeedback,"#SignLanguageRelated, #SingleHand",#OtherDevices,"#InAirGesture, #NonContactBased",Gesture Design,"#GestureRecognition, #HandTracking, #MotionAnalysis, #StaticGestureRecognition","#ComputerVision, #OpticalTracking","#HandsFree, #HighAccuracy, #SocialAcceptability",2002,151
Studying the visual representation of microgestures,"#AR, #Education",#VisualFeedback,"#Flex, #Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex","#ARGlasses, #OtherDevices","#BodyContactGesture, #ContactBased",Gesture Design,Others,"#Magnetometer, #OtherTechnology","#DiscreetInput, #ElicitationStudy, #OneHandUse",2023,132
Grasping microgestures eliciting single-hand microgestures for handheld objects,"#IoTControl, #ObjectManipulation, #OtherScenarios, #SmartHome",#RealTimeFeedback,"#DirectionalGesture, #Grasp/GripBased, #Pinch, #SingleHand, #Swipe, #Tap","#OtherDevices, #Smartphone","#BodyContactGesture, #ContactBased, #DeviceContactGesture, #DirectTouch",Gesture Design,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#ComputerVision, #Magnetometer, #OtherTechnology","#DiscreetInput, #ElicitationStudy, #EncumberedInteraction, #OneHandUse",2019,130
Hands as a controller user preferences for hand specific on-skin gestures,"#InVehicleInteraction, #IoTControl, #MediaControl, #SmartHome",#VisualFeedback,"#DualHand, #Pinch, #Swipe, #Tap",#OtherDevices,"#BodyContactGesture, #ContactBased",Gesture Design,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#CapacitiveSensor, #ComputerVision, #IMU, #RadarSensing, #UltrasonicSensor","#ElicitationStudy, #SocialAcceptability",2017,137
Vulture-A Mid-Air Word-Gesture Keyboard,"#AR, #Healthcare, #TextInput",#VisualFeedback,"#DirectionalGesture, #Pinch, #SingleHand","#Keyboard, #OtherDevices","#InAirGesture, #NonContactBased",InteractionSoftware,"#ContinuousRecognition, #GestureRecognition, #HandTracking","#ComputerVision, #OpticalTracking","#HandsFree, #QWERTYLayout, #UserAdaptation",2014,155
Investigating microinteractions for people with visual impairments and the potential role of on-body interaction,"#AccessibilitySupport, #MediaControl, #Navigation, #OtherScenarios","#AudioFeedback, #RealTimeFeedback","#SingleHand, #Swipe, #Tap","#SmartWatch, #Smartphone, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #MultiModalInteraction",Gesture Design,"#GestureRecognition, #MotionAnalysis","#ComputerVision, #IMU, #MotionSensor, #OtherTechnology","#EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability, #UserAdaptation",2017,141
Finger gesture tracking for interactive applications a pilot study with sign languages,"#AccessibilitySupport, #Education","#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #DualHand, #SignLanguageRelated, #SingleHand","#SmartRing, #SmartWatch, #WearableSensor","#InAirGesture, #NonContactBased",Gesture Design,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking","#IMU, #MotionSensor","#HighAccuracy, #LowLatency, #PortableDesign, #SocialAcceptability, #UserAdaptation",2020,150
µGlyph a microgesture notation,#Education,#VisualFeedback,"#Flex, #Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex",#OtherDevices,"#BodyContactGesture, #ContactBased, #NonContactBased",Gesture Design,Others,#OtherTechnology,"#DiscreetInput, #OneHandUse",2023,133
The missing interface- Micro-gestures on augmented objects,"#AR, #IndustryApplication, #Training",#VisualFeedback,"#SingleHand, #Swipe","#ARGlasses, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture, #InAirGesture, #NonContactBased",Gesture Design,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#RFSensing, #RadarSensing","#DiscreetInput, #OcclusionAvoidance, #OneHandUse, #PortableDesign",2019,173
"Combining Ring Input with Hand  Tracking for Precise, Natural Interaction with Spatial Analytic Interfaces","#AR, #Navigation, #ObjectManipulation","#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #Grasp/GripBased, #Pinch, #SingleHand, #Swipe, #Tap","#ARGlasses, #SmartRing, #WearableSensor, #Wearables","#ContactBased, #DirectTouch, #InAirGesture, #MultiModalInteraction, #NonContactBased",InteractionSoftware,"#3DPoseEstimation, #ContinuousRecognition, #GestureRecognition, #HandTracking","#CapacitiveSensor, #ComputerVision, #DepthSensing, #IMU, #OpticalTracking","#HandsFree, #HighAccuracy, #LowLatency, #PortableDesign",2016,158
TouchRing- Subtle and  Always-Available Input Using a Multi-Touch Ring,"#MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#MultiTouch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#SmartGlasses, #SmartRing, #TouchScreen, #Wearables","#ContactBased, #DirectTouch, #MultiModalInteraction",Hardware,"#DynamicGestureRecognition, #GestureRecognition","#CapacitiveSensor, #OtherTechnology","#DiscreetInput, #OneHandUse, #PortableDesign, #SocialAcceptability, #TouchOptimized",2016,163
Rhythmic micro-gestures discreet interaction on-the-go,"#MediaControl, #Navigation, #OtherScenarios","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #Flex, #SingleHand, #Tap",#OtherDevices,"#InAirGesture, #MultiModalInteraction, #NonContactBased",Gesture Design,"#DynamicGestureRecognition, #GestureRecognition, #HandTracking","#MotionSensor, #OpticalTracking","#DiscreetInput, #EyesFree, #MidasTouchProblem, #OneHandUse, #PortableDesign, #SocialAcceptability",2017,131
Skinmarks- Enabling interactions on body landmarks using conformal skin electronicsSkinmarks- Enabling interactions on body landmarks using conformal skin electronics,"#AR, #Gaming, #Healthcare","#HapticFeedback, #MultimodalFeedback, #ProprioceptiveFeedback, #VisualFeedback","#DirectionalGesture, #Hold, #SingleHand, #Swipe, #Tap","#Etextile, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #DirectTouch, #MultiModalInteraction",Hardware,"#DynamicGestureRecognition, #GestureRecognition, #MotionAnalysis, #StaticGestureRecognition","#CapacitiveSensor, #OtherTechnology, #PressureSensor","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability",2017,167
